,4. close
2018-06-19,185.69
2018-06-20,186.5
2018-06-21,185.46
2018-06-22,184.92
2018-06-25,182.17
2018-06-26,184.43
2018-06-27,184.16
2018-06-28,185.5
2018-06-29,185.11
2018-07-02,187.18
2018-07-03,183.92
2018-07-05,185.4
2018-07-06,187.97
2018-07-09,190.58
2018-07-10,190.35
2018-07-11,187.88
2018-07-12,191.03
2018-07-13,191.33
2018-07-16,190.91
2018-07-17,191.45
2018-07-18,190.4
2018-07-19,191.88
2018-07-20,191.44
2018-07-23,191.61
2018-07-24,193.0
2018-07-25,194.82
2018-07-26,194.21
2018-07-27,190.98
2018-07-30,189.91
2018-07-31,190.29
2018-08-01,201.5
2018-08-02,207.39
2018-08-03,207.99
2018-08-06,209.07
2018-08-07,207.11
2018-08-08,207.25
2018-08-09,208.88
2018-08-10,207.53
2018-08-13,208.87
2018-08-14,209.75
2018-08-15,210.24
2018-08-16,213.32
2018-08-17,217.58
2018-08-20,215.46
2018-08-21,215.04
2018-08-22,215.05
2018-08-23,215.49
2018-08-24,216.16
2018-08-27,217.94
2018-08-28,219.7
2018-08-29,222.98
2018-08-30,225.03
2018-08-31,227.63
2018-09-04,228.36
2018-09-05,226.87
2018-09-06,223.1
2018-09-07,221.3
2018-09-10,218.33
2018-09-11,223.85
2018-09-12,221.07
2018-09-13,226.41
2018-09-14,223.84
2018-09-17,217.88
2018-09-18,218.24
2018-09-19,218.37
2018-09-20,220.03
2018-09-21,217.66
2018-09-24,220.79
2018-09-25,222.19
2018-09-26,220.42
2018-09-27,224.95
2018-09-28,225.74
2018-10-01,227.26
2018-10-02,229.28
2018-10-03,232.07
2018-10-04,227.99
2018-10-05,224.29
2018-10-08,223.77
2018-10-09,226.87
2018-10-10,216.36
2018-10-11,214.45
2018-10-12,222.11
2018-10-15,217.36
2018-10-16,222.15
2018-10-17,221.19
2018-10-18,216.02
2018-10-19,219.31
2018-10-22,220.65
2018-10-23,222.73
2018-10-24,215.09
2018-10-25,219.8
2018-10-26,216.3
2018-10-29,212.24
2018-10-30,213.3
2018-10-31,218.86
2018-11-01,222.22
2018-11-02,207.48
2018-11-05,201.59
2018-11-06,203.77
2018-11-07,209.95
2018-11-08,208.49
2018-11-09,204.47
2018-11-12,194.17
2018-11-13,192.23
2018-11-14,186.8
2018-11-15,191.41
2018-11-16,193.53
2018-11-19,185.86
2018-11-20,176.98
2018-11-21,176.78
2018-11-23,172.29
2018-11-26,174.62
2018-11-27,174.24
2018-11-28,180.94
2018-11-29,179.55
2018-11-30,178.58
2018-12-03,184.82
2018-12-04,176.69
2018-12-06,174.72
2018-12-07,168.49
2018-12-10,169.6
2018-12-11,168.63
2018-12-12,169.1
2018-12-13,170.95
2018-12-14,165.48
2018-12-17,163.94
2018-12-18,166.07
2018-12-19,160.89
2018-12-20,156.83
2018-12-21,150.73
2018-12-24,146.83
2018-12-26,157.17
2018-12-27,156.15
2018-12-28,156.23
2018-12-31,157.74
2019-01-02,157.92
2019-01-03,142.19
2019-01-04,148.26
2019-01-07,147.93
2019-01-08,150.75
2019-01-09,153.31
2019-01-10,153.8
2019-01-11,152.29
2019-01-14,150.0
2019-01-15,153.07
2019-01-16,154.94
2019-01-17,155.86
2019-01-18,156.82
2019-01-22,153.3
2019-01-23,153.92
2019-01-24,152.7
2019-01-25,157.76
2019-01-28,156.3
2019-01-29,154.68
2019-01-30,165.25
2019-01-31,166.44
2019-02-01,166.52
2019-02-04,171.25
2019-02-05,174.18
2019-02-06,174.24
2019-02-07,170.94
2019-02-08,170.41
2019-02-11,169.43
2019-02-12,170.89
2019-02-13,170.18
2019-02-14,170.8
2019-02-15,170.42
2019-02-19,170.93
2019-02-20,172.03
2019-02-21,171.06
2019-02-22,172.97
2019-02-25,174.23
2019-02-26,174.33
2019-02-27,174.87
2019-02-28,173.15
2019-03-01,174.97
2019-03-04,175.85
2019-03-05,175.53
2019-03-06,174.52
2019-03-07,172.5
2019-03-08,172.91
2019-03-11,178.9
2019-03-12,180.91
2019-03-13,181.71
2019-03-14,183.73
2019-03-15,186.12
2019-03-18,188.02
2019-03-19,186.53
2019-03-20,188.16
2019-03-21,195.09
2019-03-22,191.05
2019-03-25,188.74
2019-03-26,186.79
2019-03-27,188.47
2019-03-28,188.72
2019-03-29,189.95
2019-04-01,191.24
2019-04-02,194.02
2019-04-03,195.35
2019-04-04,195.69
2019-04-05,197.0
2019-04-08,200.1
2019-04-09,199.5
2019-04-10,200.62
2019-04-11,198.95
2019-04-12,198.87
2019-04-15,199.23
2019-04-16,199.25
2019-04-17,203.13
2019-04-18,203.86
2019-04-22,204.53
2019-04-23,207.48
2019-04-24,207.16
2019-04-25,205.28
2019-04-26,204.3
2019-04-29,204.61
2019-04-30,200.67
2019-05-01,210.52
2019-05-02,209.15
2019-05-03,211.75
2019-05-06,208.48
2019-05-07,202.86
2019-05-08,202.9
2019-05-09,200.72
2019-05-10,197.18
2019-05-13,185.72
2019-05-14,188.66
2019-05-15,190.92
2019-05-16,190.08
2019-05-17,189.0
2019-05-20,183.09
2019-05-21,186.6
2019-05-22,182.78
2019-05-23,179.66
2019-05-24,178.97
2019-05-28,178.23
2019-05-29,177.38
2019-05-30,178.3
2019-05-31,175.07
2019-06-03,173.3
2019-06-04,179.64
2019-06-05,182.54
2019-06-06,185.22
2019-06-07,190.15
2019-06-10,192.58
2019-06-11,194.81
2019-06-12,194.19
2019-06-13,194.15
2019-06-14,192.74
2019-06-17,193.89
2019-06-18,198.45
2019-06-19,197.87
2019-06-20,199.46
2019-06-21,198.78
2019-06-24,198.58
2019-06-25,195.57
2019-06-26,199.8
2019-06-27,199.74
2019-06-28,197.92
2019-07-01,201.55
2019-07-02,202.73
2019-07-03,204.41
2019-07-05,204.23
2019-07-08,200.02
2019-07-09,201.24
2019-07-10,203.23
2019-07-11,201.75
2019-07-12,203.3
2019-07-15,205.21
2019-07-16,204.5
2019-07-17,203.35
2019-07-18,205.66
2019-07-19,202.59
2019-07-22,207.22
2019-07-23,208.84
2019-07-24,208.67
2019-07-25,207.02
2019-07-26,207.74
2019-07-29,209.68
2019-07-30,208.78
2019-07-31,213.04
2019-08-01,208.43
2019-08-02,204.02
2019-08-05,193.34
2019-08-06,197.0
2019-08-07,199.04
2019-08-08,203.43
2019-08-09,200.99
2019-08-12,200.48
2019-08-13,208.97
2019-08-14,202.75
2019-08-15,201.74
2019-08-16,206.5
2019-08-19,210.35
2019-08-20,210.36
2019-08-21,212.64
2019-08-22,212.46
2019-08-23,202.64
2019-08-26,206.49
2019-08-27,204.16
2019-08-28,205.53
2019-08-29,209.01
2019-08-30,208.74
2019-09-03,205.7
2019-09-04,209.19
2019-09-05,213.28
2019-09-06,213.26
2019-09-09,214.17
2019-09-10,216.7
2019-09-11,223.59
2019-09-12,223.09
2019-09-13,218.75
2019-09-16,219.9
2019-09-17,220.7
2019-09-18,222.77
2019-09-19,220.96
2019-09-20,217.73
2019-09-23,218.72
2019-09-24,217.68
2019-09-25,221.03
2019-09-26,219.89
2019-09-27,218.82
2019-09-30,223.97
2019-10-01,224.59
2019-10-02,218.96
2019-10-03,220.82
2019-10-04,227.01
2019-10-07,227.06
2019-10-08,224.4
2019-10-09,227.03
2019-10-10,230.09
2019-10-11,236.21
2019-10-14,235.87
2019-10-15,235.32
2019-10-16,234.37
2019-10-17,235.28
2019-10-18,236.41
2019-10-21,240.51
2019-10-22,239.96
2019-10-23,243.18
2019-10-24,243.58
2019-10-25,246.58
2019-10-28,249.05
2019-10-29,243.29
2019-10-30,243.26
2019-10-31,248.76
2019-11-01,255.82
2019-11-04,257.5
2019-11-05,257.13
2019-11-06,257.24
2019-11-07,259.43
2019-11-08,260.14
2019-11-11,262.2
2019-11-12,261.96
2019-11-13,264.47
2019-11-14,262.64
2019-11-15,265.76
2019-11-18,267.1
2019-11-19,266.29
2019-11-20,263.19
2019-11-21,262.01
2019-11-22,261.78
2019-11-25,266.37
2019-11-26,264.29
2019-11-27,267.84
2019-11-29,267.25
2019-12-02,264.16
2019-12-03,259.45
2019-12-04,261.74
2019-12-05,265.58
2019-12-06,270.71
2019-12-09,266.92
2019-12-10,268.48
2019-12-11,270.77
2019-12-12,271.46
2019-12-13,275.15
2019-12-16,279.86
2019-12-17,280.41
2019-12-18,279.74
2019-12-19,280.02
2019-12-20,279.44
2019-12-23,284.0
2019-12-24,284.27
2019-12-26,289.91
2019-12-27,289.8
2019-12-30,291.52
2019-12-31,293.65
2020-01-02,300.35
2020-01-03,297.43
2020-01-06,299.8
2020-01-07,298.39
2020-01-08,303.19
2020-01-09,309.63
2020-01-10,310.33
2020-01-13,316.96
2020-01-14,312.68
2020-01-15,311.34
2020-01-16,315.24
2020-01-17,318.73
2020-01-21,316.57
2020-01-22,317.7
2020-01-23,319.23
2020-01-24,318.31
2020-01-27,308.95
2020-01-28,317.69
2020-01-29,324.34
2020-01-30,323.87
2020-01-31,309.51
2020-02-03,308.66
2020-02-04,318.85
2020-02-05,321.45
2020-02-06,325.21
2020-02-07,320.03
2020-02-10,321.55
2020-02-11,319.61
2020-02-12,327.2
2020-02-13,324.87
2020-02-14,324.95
2020-02-18,319.0
2020-02-19,323.62
2020-02-20,320.3
2020-02-21,313.05
2020-02-24,298.18
2020-02-25,288.08
2020-02-26,292.65
2020-02-27,273.52
2020-02-28,273.36
2020-03-02,298.81
2020-03-03,289.32
2020-03-04,302.74
2020-03-05,292.92
2020-03-06,289.03
2020-03-09,266.17
2020-03-10,285.34
2020-03-11,275.43
2020-03-12,248.23
2020-03-13,277.97
2020-03-16,242.21
2020-03-17,252.86
2020-03-18,246.67
2020-03-19,244.78
2020-03-20,229.24
2020-03-23,224.37
2020-03-24,246.88
2020-03-25,245.52
2020-03-26,258.44
2020-03-27,247.74
2020-03-30,254.81
2020-03-31,254.29
2020-04-01,240.91
2020-04-02,244.93
2020-04-03,241.41
2020-04-06,262.47
2020-04-07,259.43
2020-04-08,266.07
2020-04-09,267.99
2020-04-13,273.25
2020-04-14,287.05
2020-04-15,284.43
2020-04-16,286.69
2020-04-17,282.8
2020-04-20,276.93
2020-04-21,268.37
2020-04-22,276.1
2020-04-23,275.03
2020-04-24,282.97
2020-04-27,283.17
2020-04-28,278.58
2020-04-29,287.73
2020-04-30,293.8
2020-05-01,289.07
2020-05-04,293.16
2020-05-05,297.56
2020-05-06,300.63
2020-05-07,303.74
2020-05-08,310.13
2020-05-11,315.01
2020-05-12,311.41
2020-05-13,307.65
2020-05-14,309.54
2020-05-15,307.71
2020-05-18,314.96
2020-05-19,313.14
2020-05-20,319.23
2020-05-21,316.85
2020-05-22,318.89
2020-05-26,316.73
2020-05-27,318.11
2020-05-28,318.25
2020-05-29,317.94
2020-06-01,321.85
2020-06-02,323.34
2020-06-03,325.12
2020-06-04,322.32
2020-06-05,331.5
2020-06-08,333.46
2020-06-09,343.99
2020-06-10,352.84
2020-06-11,335.9
2020-06-12,338.8
2020-06-15,342.99
2020-06-16,352.08
2020-06-17,351.59
2020-06-18,351.73
2020-06-19,349.72
2020-06-22,358.87
2020-06-23,366.53
2020-06-24,360.06
2020-06-25,364.84
2020-06-26,353.63
2020-06-29,361.78
2020-06-30,364.8
2020-07-01,364.11
2020-07-02,364.11
2020-07-06,373.85
2020-07-07,372.69
2020-07-08,381.37
2020-07-09,383.01
2020-07-10,383.68
2020-07-13,381.91
2020-07-14,388.23
2020-07-15,390.9
2020-07-16,386.09
2020-07-17,385.31
2020-07-20,393.43
2020-07-21,388.0
2020-07-22,389.09
2020-07-23,371.38
2020-07-24,370.46
2020-07-27,379.24
2020-07-28,373.01
2020-07-29,380.16
2020-07-30,384.76
2020-07-31,425.04
2020-08-03,435.75
2020-08-04,438.66
2020-08-05,440.25
2020-08-06,455.61
2020-08-07,444.45
2020-08-10,450.91
2020-08-11,437.5
2020-08-12,452.04
2020-08-13,460.04
2020-08-14,459.63
2020-08-17,458.43
2020-08-18,462.25
2020-08-19,462.83
2020-08-20,473.1
2020-08-21,497.48
2020-08-24,503.43
2020-08-25,499.3
2020-08-26,506.09
2020-08-27,500.04
2020-08-28,499.23
2020-08-31,129.04
2020-09-01,134.18
2020-09-02,131.4
2020-09-03,120.88
2020-09-04,120.96
2020-09-08,112.82
2020-09-09,117.32
2020-09-10,113.49
2020-09-11,112.0
2020-09-14,115.355
2020-09-15,115.54
2020-09-16,112.13
2020-09-17,110.34
2020-09-18,106.84
2020-09-21,110.08
2020-09-22,111.81
2020-09-23,107.12
2020-09-24,108.22
2020-09-25,112.28
2020-09-28,114.96
2020-09-29,114.09
2020-09-30,115.81
2020-10-01,116.79
2020-10-02,113.02
2020-10-05,116.5
2020-10-06,113.16
2020-10-07,115.08
2020-10-08,114.97
2020-10-09,116.97
2020-10-12,124.4
2020-10-13,121.1
2020-10-14,121.19
2020-10-15,120.71
2020-10-16,119.02
2020-10-19,115.98
2020-10-20,117.51
2020-10-21,116.87
2020-10-22,115.75
2020-10-23,115.04
2020-10-26,115.05
2020-10-27,116.6
2020-10-28,111.2
2020-10-29,115.32
2020-10-30,108.86
2020-11-02,108.77
2020-11-03,110.44
2020-11-04,114.95
2020-11-05,119.03
2020-11-06,118.69
2020-11-09,116.32
2020-11-10,115.97
2020-11-11,119.49
2020-11-12,119.21
2020-11-13,119.26
2020-11-16,120.3
2020-11-17,119.39
2020-11-18,118.03
2020-11-19,118.64
2020-11-20,117.34
2020-11-23,113.85
2020-11-24,115.17
2020-11-25,116.03
2020-11-27,116.59
2020-11-30,119.05
2020-12-01,122.72
2020-12-02,123.08
2020-12-03,122.94
2020-12-04,122.25
2020-12-07,123.75
2020-12-08,124.38
2020-12-09,121.78
2020-12-10,123.24
2020-12-11,122.41
2020-12-14,121.78
2020-12-15,127.88
2020-12-16,127.81
2020-12-17,128.7
2020-12-18,126.655
2020-12-21,128.23
2020-12-22,131.88
2020-12-23,130.96
2020-12-24,131.97
2020-12-28,136.69
2020-12-29,134.87
2020-12-30,133.72
2020-12-31,132.69
2021-01-04,129.41
2021-01-05,131.01
2021-01-06,126.6
2021-01-07,130.92
2021-01-08,132.05
2021-01-11,128.98
2021-01-12,128.8
2021-01-13,130.89
2021-01-14,128.91
2021-01-15,127.14
2021-01-19,127.83
2021-01-20,132.03
2021-01-21,136.87
2021-01-22,139.07
2021-01-25,142.92
2021-01-26,143.16
2021-01-27,142.06
2021-01-28,137.09
2021-01-29,131.96
2021-02-01,134.14
2021-02-02,134.99
2021-02-03,133.94
2021-02-04,137.39
2021-02-05,136.76
2021-02-08,136.91
2021-02-09,136.01
2021-02-10,135.39
2021-02-11,135.13
2021-02-12,135.37
2021-02-16,133.19
2021-02-17,130.84
2021-02-18,129.71
2021-02-19,129.87
2021-02-22,126.0
2021-02-23,125.86
2021-02-24,125.35
2021-02-25,120.99
2021-02-26,121.26
2021-03-01,127.79
2021-03-02,125.12
2021-03-03,122.06
2021-03-04,120.13
2021-03-05,121.42
2021-03-08,116.36
2021-03-09,121.085
2021-03-10,119.98
2021-03-11,121.96
2021-03-12,121.03
2021-03-15,123.99
2021-03-16,125.57
2021-03-17,124.76
2021-03-18,120.53
2021-03-19,119.99
2021-03-22,123.39
2021-03-23,122.54
2021-03-24,120.09
2021-03-25,120.59
2021-03-26,121.21
2021-03-29,121.39
2021-03-30,119.9
2021-03-31,122.15
2021-04-01,123.0
2021-04-05,125.9
2021-04-06,126.21
2021-04-07,127.9
2021-04-08,130.36
2021-04-09,132.995
2021-04-12,131.24
2021-04-13,134.43
2021-04-14,132.03
2021-04-15,134.5
2021-04-16,134.16
2021-04-19,134.84
2021-04-20,133.11
2021-04-21,133.5
2021-04-22,131.94
2021-04-23,134.32
2021-04-26,134.72
2021-04-27,134.39
2021-04-28,133.58
2021-04-29,133.48
2021-04-30,131.46
2021-05-03,132.54
2021-05-04,127.85
2021-05-05,128.1
2021-05-06,129.74
2021-05-07,130.21
2021-05-10,126.85
2021-05-11,125.91
2021-05-12,122.77
2021-05-13,124.97
2021-05-14,127.45
2021-05-17,126.27
2021-05-18,124.85
2021-05-19,124.69
2021-05-20,127.31
2021-05-21,125.43
2021-05-24,127.1
2021-05-25,126.9
2021-05-26,126.85
2021-05-27,125.28
2021-05-28,124.61
2021-06-01,124.28
2021-06-02,125.06
2021-06-03,123.54
2021-06-04,125.89
2021-06-07,125.9
2021-06-08,126.74
2021-06-09,127.13
2021-06-10,126.11
2021-06-11,127.35
2021-06-14,130.48
2021-06-15,129.64
2021-06-16,130.15
2021-06-17,131.79
2021-06-18,130.46
2021-06-21,132.3
2021-06-22,133.98
2021-06-23,133.7
2021-06-24,133.41
2021-06-25,133.11
2021-06-28,134.78
2021-06-29,136.33
2021-06-30,136.96
2021-07-01,137.27
2021-07-02,139.96
2021-07-06,142.02
2021-07-07,144.57
2021-07-08,143.24
2021-07-09,145.11
2021-07-12,144.5
2021-07-13,145.64
2021-07-14,149.15
2021-07-15,148.48
2021-07-16,146.39
2021-07-19,142.45
2021-07-20,146.15
2021-07-21,145.4
2021-07-22,146.8
2021-07-23,148.56
2021-07-26,148.99
2021-07-27,146.77
2021-07-28,144.98
2021-07-29,145.64
2021-07-30,145.86
2021-08-02,145.52
2021-08-03,147.36
2021-08-04,146.95
2021-08-05,147.06
2021-08-06,146.14
2021-08-09,146.09
2021-08-10,145.6
2021-08-11,145.86
2021-08-12,148.89
2021-08-13,149.1
2021-08-16,151.12
2021-08-17,150.19
2021-08-18,146.36
2021-08-19,146.7
2021-08-20,148.19
2021-08-23,149.71
2021-08-24,149.62
2021-08-25,148.36
2021-08-26,147.54
2021-08-27,148.6
2021-08-30,153.12
2021-08-31,151.83
2021-09-01,152.51
2021-09-02,153.65
2021-09-03,154.3
2021-09-07,156.69
2021-09-08,155.11
2021-09-09,154.07
2021-09-10,148.97
2021-09-13,149.55
2021-09-14,148.12
2021-09-15,149.03
2021-09-16,148.79
2021-09-17,146.06
2021-09-20,142.94
2021-09-21,143.43
2021-09-22,145.85
2021-09-23,146.83
2021-09-24,146.92
2021-09-27,145.37
2021-09-28,141.91
2021-09-29,142.83
2021-09-30,141.5
2021-10-01,142.65
2021-10-04,139.14
2021-10-05,141.11
2021-10-06,142.0
2021-10-07,143.29
2021-10-08,142.9
2021-10-11,142.81
2021-10-12,141.51
2021-10-13,140.91
